INCIDENT_MONTH,INCIDENT_YEAR,TIME,HEIGHT,SPEED
9,2009,840,0,
9,2009,2345,300,140
9,2009,840,0,
9,2009,,,
9,2009,1130,,
9,2009,838,0,
9,2009,2110,700,
9,2009,,0,100
9,2009,2045,0,
9,2009,830,,130
9,2009,,,
9,2009,,0,100
8,2009,1230,1500,110
8,2009,1015,150,
8,2009,1045,10000,
8,2009,,,
8,2009,1840,0,
8,2009,1905,0,
8,2009,,,
8,2009,1453,,
8,2009,1707,3000,
8,2009,,,
8,2009,1630,,
8,2009,1605,,180
8,2009,,,
8,2009,,,
8,2009,,,
8,2009,2127,0,80
8,2009,,,
8,2009,1214,0,
8,2009,1330,3000,160
8,2009,,,
8,2009,842,10,150
8,2009,540,50,130
7,2009,806,0,
7,2009,,0,
7,2009,745,0,
7,2009,745,400,
7,2009,,,
7,2009,625,15,150
7,2009,,200,
7,2009,1120,900,
7,2009,,,
7,2009,,,
7,2009,,,
7,2009,1115,0,
7,2009,1645,20,80
7,2009,745,0,
6,2009,,,
6,2009,1227,50,165
6,2009,,,
6,2009,2328,,190
6,2009,,100,
6,2009,2151,0,
6,2009,,,
6,2009,1505,0,
6,2009,,,
6,2009,1545,0,
6,2009,,0,100
5,2009,1700,20,55
5,2009,610,0,
5,2009,635,100,142
5,2009,,,
5,2009,2245,5000,250
5,2009,,,
5,2009,,800,130
5,2009,1535,0,91
5,2009,,,
5,2009,706,100,180
5,2009,1030,0,100
5,2009,,,
5,2009,1517,10,147
5,2009,,,
4,2009,,,
4,2009,9,50,135
4,2009,1125,10,
4,2009,,800,90
4,2009,,,
4,2009,,0,
4,2009,,,
4,2009,2150,14000,261
4,2009,1605,1200,105
3,2009,,,
3,2009,,,
3,2009,,3000,170
3,2009,925,0,
3,2009,2304,0,
3,2009,2315,3500,180
3,2009,,,
2,2009,,,
2,2009,520,0,
2,2009,,,
2,2009,1507,900,170
2,2009,1022,1000,140
2,2009,1215,1000,160
1,2009,1142,1200,
1,2009,1510,1200,140
1,2009,1915,1000,132
1,2009,,,
12,2008,1605,0,
12,2008,,,
12,2008,2000,1000,140
12,2008,,,
12,2008,,30,
12,2008,800,20,36
12,2008,1630,100,80
12,2008,,,
12,2008,,,
11,2008,2210,0,
11,2008,1705,,
11,2008,1613,100,
11,2008,1845,5000,
11,2008,,,
11,2008,,,
11,2008,1915,,
11,2008,840,0,140
11,2008,,,
11,2008,730,0,120
11,2008,1030,,
11,2008,1205,0,
11,2008,1000,50,120
11,2008,844,,165
11,2008,,,
10,2008,,,
10,2008,,,
10,2008,,,
10,2008,1139,0,
10,2008,,,
10,2008,2202,6600,250
10,2008,,,
10,2008,1915,300,120
10,2008,2015,10000,210
10,2008,,,
9,2008,,,
9,2008,2130,,130
9,2008,,,
9,2008,2255,300,150
9,2008,2023,,160
9,2008,,,
9,2008,,,
9,2008,1035,,
9,2008,,300,70
9,2008,1140,,120
9,2008,,,
9,2008,,,
9,2008,530,300,
9,2008,,100,140
9,2008,,,
9,2008,1158,0,
9,2008,1824,60,
9,2008,,,
8,2008,,0,30
8,2008,1235,0,130
8,2008,,,
8,2008,,,
8,2008,,,
8,2008,,,
8,2008,700,,
8,2008,,,
8,2008,,,
8,2008,1306,0,
8,2008,1845,30,
8,2008,,,
8,2008,920,0,
8,2008,1011,200,
8,2008,,,
8,2008,,,
8,2008,,,
8,2008,1705,,
8,2008,,,
7,2008,1122,,
7,2008,1315,,
7,2008,929,0,
7,2008,30,,120
7,2008,605,0,
7,2008,1230,2000,240
7,2008,,,
7,2008,,,
7,2008,,5500,250
7,2008,1515,20,
7,2008,600,0,120
7,2008,,,
7,2008,640,150,
7,2008,,,
7,2008,1709,20,140
7,2008,2355,0,100
7,2008,1115,,
7,2008,630,100,
6,2008,2035,0,
6,2008,1953,50,150
6,2008,,,
6,2008,,,
6,2008,1217,10,130
6,2008,,,
6,2008,,,
6,2008,,,
6,2008,,,
6,2008,,,
6,2008,,,
6,2008,2000,0,
6,2008,,,
6,2008,,,
6,2008,930,,120
6,2008,,,
5,2008,1455,5,120
5,2008,130,,120
5,2008,10,460,124
5,2008,,,
5,2008,1005,,
5,2008,858,0,
5,2008,2200,,
5,2008,2330,9000,250
5,2008,1406,0,
5,2008,,5,140
5,2008,2115,1000,145
5,2008,1930,500,180
4,2008,,,
4,2008,1604,0,
4,2008,1330,2000,210
4,2008,553,,
4,2008,,,
4,2008,5,,250
4,2008,1550,0,135
4,2008,2000,,200
4,2008,927,,120
4,2008,2047,,
4,2008,,,
3,2008,,,
3,2008,1310,0,
3,2008,,,
3,2008,2240,0,80
3,2008,1120,0,
3,2008,1415,1400,100
2,2008,,3000,180
2,2008,1000,1200,180
2,2008,,2200,150
2,2008,1137,,
2,2008,1158,0,
2,2008,,,
2,2008,,,
1,2008,,,
1,2008,2,0,
1,2008,,,
1,2008,2000,4000,
1,2008,,,
1,2008,730,10,110
1,2008,1855,0,
1,2008,,,
1,2008,,,
1,2008,,,
12,2007,,,
12,2007,1910,1500,150
12,2007,,,
12,2007,1030,0,80
12,2007,,,
12,2007,,500,150
12,2007,,,
12,2007,,0,
11,2007,,,
11,2007,1100,,110
11,2007,2045,7000,250
11,2007,,,
11,2007,1500,,
11,2007,,,
11,2007,1415,,
10,2007,1110,100,145
10,2007,715,300,100
10,2007,1228,,
10,2007,2304,7000,250
10,2007,1820,,
10,2007,1828,,
10,2007,2030,,
10,2007,,10,70
10,2007,2315,,150
10,2007,,,
10,2007,2024,500,120
10,2007,2125,1000,130
10,2007,2214,,
10,2007,2000,400,140
10,2007,,,
10,2007,1030,50,150
9,2007,2115,2500,250
9,2007,2255,,
9,2007,2050,6000,170
9,2007,,200,65
9,2007,,0,
9,2007,710,300,160
9,2007,929,0,
9,2007,,,
9,2007,915,,130
9,2007,1000,500,150
9,2007,1000,500,150
9,2007,1053,,
8,2007,,,
8,2007,,,
8,2007,1315,,
8,2007,2045,1000,90
8,2007,1937,,125
8,2007,220,4000,210
8,2007,,,
8,2007,,,
8,2007,958,,
8,2007,1030,,
8,2007,825,0,
8,2007,2255,100,
7,2007,433,0,
7,2007,1733,0,140
7,2007,,,
7,2007,948,,
7,2007,1540,,
7,2007,,,
7,2007,,,
7,2007,,,
7,2007,,,
7,2007,,,
7,2007,2010,0,
7,2007,653,0,
7,2007,2036,0,
7,2007,,,
7,2007,,,
7,2007,,,
7,2007,,,
7,2007,630,0,
7,2007,1117,,
6,2007,,,
6,2007,,,
6,2007,,,
6,2007,2030,7000,250
6,2007,1610,190,70
6,2007,,,
6,2007,,,
6,2007,1550,0,130
6,2007,2330,0,90
6,2007,1940,3500,
5,2007,1445,100,
5,2007,2150,2000,
5,2007,,,
5,2007,2200,,230
5,2007,1200,1000,55
5,2007,2245,4500,
5,2007,1800,0,
5,2007,2130,5000,
4,2007,,,
4,2007,2100,,
4,2007,1100,,160
4,2007,,,
4,2007,,,
4,2007,,2000,160
4,2007,1000,,160
